id,match_id,league,market_type,prediction,odds_taken,closing_odds,clv_percentage,diamond_score,edge_pct,ev_expected,is_winner,profit_loss,source,created_at,implied_prob,predicted_prob,hours_before_match,data_quality_score,model_uncertainty,steam_move,odds_movement,league_tier,match_importance,reality_score,class_score,context_score,home_tier,away_tier,tier_difference,convergence_status,system_confidence,adjusted_confidence,reality_check_correct,home_form,home_pressing,home_style,home_win_rate,home_draw_rate,home_strength,away_form,away_pressing,away_style,away_win_rate,home_tier_class,home_power,home_big_game,away_tier_class,away_power,away_big_game,got_value,line_movement_pct
2417,b522e292a928a534064b7bd0f1f5a3b3,,btts_no,btts_no,2.28,,,72,15.17,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-67.9,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2416,b522e292a928a534064b7bd0f1f5a3b3,,dc_1x,dc_1x,1.76,,,81,31.3,,True,0.76,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-67.9,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2415,b522e292a928a534064b7bd0f1f5a3b3,,dc_12,dc_12,1.39,,,86,10.73,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-67.9,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2386,a8594cd0764e1f3cc534b25f956fd9cc,,draw,draw,4.8,,,5,0.89,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
2385,a8594cd0764e1f3cc534b25f956fd9cc,,home,home,1.55,,,12,-8.61,,True,0.55,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
2384,a8594cd0764e1f3cc534b25f956fd9cc,,away,away,6.6,,,20,4.48,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
2383,a8594cd0764e1f3cc534b25f956fd9cc,,under_25,under_25,2.23,,,23,3.61,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
2382,a8594cd0764e1f3cc534b25f956fd9cc,,over_35,over_35,2.78,,,32,2.87,,True,1.78,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
2381,a8594cd0764e1f3cc534b25f956fd9cc,,dc_x2,dc_x2,2.78,,,33,9.33,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
2380,a8594cd0764e1f3cc534b25f956fd9cc,,under_35,under_35,1.54,,,38,-0.25,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
2379,a8594cd0764e1f3cc534b25f956fd9cc,,btts_no,btts_no,2.82,,,60,12.63,,True,1.82,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
2378,a8594cd0764e1f3cc534b25f956fd9cc,,btts_yes,btts_yes,1.55,,,66,0.37,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
2377,a8594cd0764e1f3cc534b25f956fd9cc,,dc_1x,dc_1x,1.17,,,74,5.62,,True,0.17,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
